Type,Count,Percentage,Period
IA,7538,44.0792936085609,Before 2017
AA,3460,20.232734927782,Before 2017
OA,1981,11.584117887842817,Before 2017
UKIAT,1301,7.607742237296064,Before 2017
DA,1129,6.601953102157769,Before 2017
UKUT,615,3.5962809192444887,Before 2017
VA,532,3.1109291854277528,Before 2017
PA,340,1.988187825273376,Before 2017
HU,105,0.6139991813344249,Before 2017
Unknown,50,0.29238056254020234,Before 2017
EA,39,0.22805683878135782,Before 2017
JR,11,0.06432372375884451,Before 2017
PA,7460,29.512996004272658,2017-2025
HU,6389,25.275942556474266,2017-2025
UI,4312,17.058986430351702,2017-2025
IA,2384,9.431498991177751,2017-2025
EA,2287,9.047750919808522,2017-2025
DA,543,2.148197966530838,2017-2025
AA,513,2.029512996004273,2017-2025
Unknown,447,1.768406060845828,2017-2025
JR,336,1.3292716698975353,2017-2025
UKUT,322,1.2738853503184715,2017-2025
OA,233,0.9217866044229932,2017-2025
VA,51,0.2017644498951616,2017-2025
