reference_number,determination_type,url,date
IA/03817/2021,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-03817-2021,24 Nov 2022
IA/42134/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-42134-2014,18 Jun 2015
PA/03165/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03165-2017,6 Feb 2018
OA/00836/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-00836-2014,24 Sep 2015
PA/03865/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03865-2016,2 Nov 2017
[2018] UKUT 54,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2018-ukut-54,16 Jan 2018
HU/01095/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-01095-2016,1 Nov 2021
UI-2023-004186,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-004186,9 Jan 2024
UI-2024-001000,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001000,27 Jun 2024
HU/02732/2017 & Ors.,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-02732-2017-ors,14 Nov 2018
DA/01270/2014,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-01270-2014,11 Feb 2016
EA/00954/2018,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-00954-2018,31 Oct 2018
IA/49886/2013 & IA/49889/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-49886-2013-ia-49889-2013,12 Jan 2015
[2004] UKIAT 166,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2004-ukiat-166,22 Jun 2004
IA/34759/2013 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-34759-2013-ors,20 Feb 2015
UI-2024-005327 & UI-2024-005328,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-005327-ui-2024-005328,17 Feb 2025
EA/09615/2021 & EA/09616/2021,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-09615-2021-ea-09616-2021,21 Mar 2023
RP/00036/2017,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/rp-00036-2017,16 Mar 2018
HU/12198/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12198-2015,25 Jan 2018
UI-2023-005402,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-005402,18 Jun 2024
IA/44379/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-44379-2014,27 Apr 2016
IA/20130/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-20130-2014,9 Sep 2015
AA/02835/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-02835-2015,7 Apr 2016
UI-2023-000305 & UI-2023-000306,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-000305-ui-2023-000306,19 Feb 2025
IA/24762/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-24762-2013,18 Mar 2014
PA/12316/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-12316-2019,6 Aug 2020
HU/03824/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03824-2018,14 Mar 2019
IA/15367/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-15367-2014,21 Oct 2015
PA/09774/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09774-2018,4 Feb 2019
PA/08433/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08433-2016,9 Oct 2017
PA/10099/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10099-2019,3 Mar 2021
HU/03574/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03574-2016,8 Jun 2018
IA/26737/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26737-2014-ors,19 May 2015
HU/04970/2018 & HU/04969/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-04970-2018-hu-04969-2018,13 Jun 2019
