comparison_label,pre_brexit_sp_magnitude,post_brexit_sp_magnitude,sp_magnitude_difference,pre_brexit_sp_significance,post_brexit_sp_significance,sp_gained_significance,sp_lost_significance,sp_both_significant,sp_neither_significant
Syria_vs_Myanmar (country) [Asylum seeker circumstances],0.0416666666666666,-0.1875,-0.2291666666666666,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Asylum seeker circumstances],-0.03125,-0.25,-0.21875,False,True,True,False,False,False
Ukraine_vs_Nigeria (country) [Asylum seeker circumstances],-0.0520833333333333,0.1979166666666666,0.2499999999999999,False,False,False,False,False,True
Syria_vs_China (country) [Asylum seeker circumstances],0.2291666666666666,0.3645833333333333,0.1354166666666667,True,True,False,False,True,False
Syria_vs_Ukraine (country) [Asylum seeker circumstances],0.1249999999999999,-0.1354166666666666,-0.2604166666666665,False,False,False,False,False,True
China_vs_Myanmar (country) [Asylum seeker circumstances],-0.1875,-0.5520833333333334,-0.36458333333333337,True,True,False,False,True,False
Myanmar_vs_Ukraine (country) [Asylum seeker circumstances],0.0833333333333333,0.0520833333333333,-0.03125,False,False,False,False,False,True
China_vs_Ukraine (country) [Asylum seeker circumstances],-0.1041666666666666,-0.5,-0.39583333333333337,False,True,True,False,False,False
Nigeria_vs_Pakistan (country) [Asylum seeker circumstances],-0.0520833333333333,-0.0520833333333332,1.0408340855860843e-16,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Asylum seeker circumstances],-0.0208333333333333,0.1979166666666667,0.21875,False,False,False,False,False,True
Pakistan_vs_China (country) [Asylum seeker circumstances],0.2083333333333333,0.3541666666666666,0.1458333333333333,True,True,False,False,True,False
Pakistan_vs_Ukraine (country) [Asylum seeker circumstances],0.1041666666666666,-0.1458333333333333,-0.2499999999999999,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Asylum seeker circumstances],0.0208333333333333,0.0104166666666667,-0.0104166666666666,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Asylum seeker circumstances],0.0729166666666666,0.0625,-0.010416666666666602,False,False,False,False,False,True
China_vs_Nigeria (country) [Asylum seeker circumstances],-0.15625,-0.3020833333333333,-0.14583333333333331,True,True,False,False,True,False
Syria_vs_Myanmar (country) [Nature of persecution],0.0194444444444444,-0.0097222222222221,-0.0291666666666665,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Nature of persecution],-0.0597222222222222,-0.011111111111111,0.048611111111111195,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Nature of persecution],0.0402777777777778,-0.0541666666666666,-0.0944444444444444,False,False,False,False,False,True
Syria_vs_China (country) [Nature of persecution],-0.0055555555555555,0.0027777777777778,0.0083333333333333,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Nature of persecution],0.0388888888888888,0.0555555555555555,0.016666666666666698,False,False,False,False,False,True
China_vs_Myanmar (country) [Nature of persecution],0.025,-0.0125,-0.037500000000000006,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Nature of persecution],0.0194444444444443,0.0652777777777777,0.0458333333333334,False,True,True,False,False,False
China_vs_Ukraine (country) [Nature of persecution],0.0444444444444444,0.0527777777777777,0.008333333333333304,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Nature of persecution],-0.0347222222222222,0.0291666666666666,0.0638888888888888,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Nature of persecution],0.025,0.0402777777777777,0.015277777777777696,False,False,False,False,False,True
Pakistan_vs_China (country) [Nature of persecution],-0.05,-0.0277777777777776,0.022222222222222403,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Nature of persecution],-0.0055555555555556,0.025,0.0305555555555556,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Nature of persecution],0.0444444444444445,0.0305555555555555,-0.013888888888889003,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Nature of persecution],0.0791666666666667,0.0013888888888888,-0.0777777777777779,True,False,False,True,False,False
China_vs_Nigeria (country) [Nature of persecution],0.0847222222222222,-0.0013888888888889,-0.0861111111111111,True,False,False,True,False,False
Syria_vs_Myanmar (country) [Non-Refoulement - Intercept...],0.0,0.0208333333333333,0.0208333333333333,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Non-Refoulement - Intercept...],-0.09375,0.0416666666666667,0.13541666666666669,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Non-Refoulement - Intercept...],0.0104166666666666,-0.0208333333333333,-0.031249999999999903,False,False,False,False,False,True
Syria_vs_China (country) [Non-Refoulement - Intercept...],0.0520833333333333,-0.0104166666666666,-0.0624999999999999,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Non-Refoulement - Intercept...],0.0833333333333333,0.0,-0.0833333333333333,False,False,False,False,False,True
China_vs_Myanmar (country) [Non-Refoulement - Intercept...],-0.0520833333333333,0.03125,0.0833333333333333,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Non-Refoulement - Intercept...],0.0833333333333333,-0.0208333333333333,-0.1041666666666666,False,False,False,False,False,True
China_vs_Ukraine (country) [Non-Refoulement - Intercept...],0.03125,0.0104166666666666,-0.020833333333333398,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Non-Refoulement - Intercept...],-0.0625,0.0,0.0625,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Non-Refoulement - Intercept...],0.03125,-0.0416666666666667,-0.0729166666666667,False,False,False,False,False,True
Pakistan_vs_China (country) [Non-Refoulement - Intercept...],0.0208333333333333,0.0104166666666667,-0.0104166666666666,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Non-Refoulement - Intercept...],0.0520833333333333,0.0208333333333333,-0.03125,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Non-Refoulement - Intercept...],0.03125,-0.0208333333333333,-0.0520833333333333,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Non-Refoulement - Intercept...],0.09375,-0.0208333333333333,-0.1145833333333333,False,False,False,False,False,True
China_vs_Nigeria (country) [Non-Refoulement - Intercept...],0.0416666666666666,-0.0104166666666667,-0.0520833333333333,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Activist Persecution Ground],-0.1111111111111111,0.1180555555555555,0.2291666666666666,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Activist Persecution Ground],-0.1284722222222222,0.0555555555555555,0.1840277777777777,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Activist Persecution Ground],0.0451388888888888,0.0034722222222222,-0.041666666666666595,False,False,False,False,False,True
Syria_vs_China (country) [Activist Persecution Ground],-0.0104166666666667,0.0555555555555555,0.0659722222222222,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Activist Persecution Ground],-0.0277777777777777,0.0590277777777777,0.0868055555555554,False,False,False,False,False,True
China_vs_Myanmar (country) [Activist Persecution Ground],-0.1006944444444444,0.0625,0.16319444444444442,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Activist Persecution Ground],0.0833333333333333,-0.0590277777777777,-0.142361111111111,False,False,False,False,False,True
China_vs_Ukraine (country) [Activist Persecution Ground],-0.017361111111111,0.0034722222222222,0.0208333333333332,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Activist Persecution Ground],-0.0555555555555555,0.1215277777777777,0.1770833333333332,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Activist Persecution Ground],0.0729166666666666,0.0659722222222222,-0.006944444444444406,False,False,False,False,False,True
Pakistan_vs_China (country) [Activist Persecution Ground],0.0277777777777777,-0.1284722222222222,-0.15624999999999992,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Activist Persecution Ground],0.0104166666666667,-0.125,-0.1354166666666667,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Activist Persecution Ground],-0.0381944444444445,0.1840277777777777,0.2222222222222222,False,True,True,False,False,False
Syria_vs_Nigeria (country) [Activist Persecution Ground],0.017361111111111,0.0625,0.045138888888889,False,False,False,False,False,True
China_vs_Nigeria (country) [Activist Persecution Ground],0.0277777777777777,0.0069444444444444,-0.0208333333333333,False,False,False,False,False,True
Syria_vs_Myanmar (country) [3rd safe country - Country ...],-0.0416666666666667,-0.0416666666666666,9.71445146547012e-17,False,False,False,False,False,True
