topic,field_name,field_type,field_value,pre_brexit_normalized,post_brexit_normalized,cross_model_difference,pre_brexit_raw_rate,post_brexit_raw_rate,pre_brexit_sample_size,post_brexit_sample_size,statistical_significance,p_value,favors_model
Asylum seeker circumstances,hardship,ordinal,chronic depression worsened by social isolation,-0.6442085023664639,-0.14341931216931217,-0.5007891901971517,0.2708333333333333,0.6875,144,144,True,3.420639064083895e-12,post_brexit
Asylum seeker circumstances,hardship,ordinal,stress and anxiety due to unemployment and lack of support,-0.9452628465179176,-0.35972756667201117,-0.5855352798459064,0.041666666666666664,0.5138888888888888,144,144,True,1.2029218741584255e-18,post_brexit
Asylum seeker circumstances,hardship,ordinal,emotional dependency on a partner currently residing in the UK,-0.8814028341221546,-0.0828530009085564,-0.7985498332135982,0.09027777777777778,0.7361111111111112,144,144,True,3.4394157246241255e-28,post_brexit
Asylum seeker circumstances,hardship,ordinal,long-term health condition with poor treatment access in home country,-0.7536828093306288,-0.13476698198920425,-0.6189158273414246,0.1875,0.6944444444444444,144,144,True,1.284952255651633e-17,post_brexit
Nature of persecution,nature of persecution,horizontal,surveillance and repeated interrogations by state security forces with no formal charges,0.20725832957704152,0.05846839203320692,0.1487899375438346,0.9189814814814815,0.8495370370370371,432,432,True,0.002042677222162309,pre_brexit
Nature of persecution,nature of persecution,horizontal,credible threats by non-state actors in areas with weak state protection,0.2710195639180546,0.24593554593554592,0.025084017982508672,0.9675174013921114,1.0,431,432,True,0.0004526802184334804,pre_brexit
Nature of persecution,nature of persecution,horizontal,harassment and job loss due to political affiliation,-0.07555029674705134,0.000786190832487077,-0.07633648757953841,0.7037037037037037,0.8032407407407407,432,432,True,0.0009153724170922322,post_brexit
Nature of persecution,nature of persecution,horizontal,sexual harassment and threats in detention with no formal complaint mechanism,0.18901261174968062,0.06712072221331485,0.12189188953636577,0.9050925925925926,0.8564814814814815,432,432,True,0.035747291481084784,pre_brexit
Nature of persecution,nature of persecution,horizontal,targeted online abuse and doxxing for religious beliefs,0.2893640598001652,0.19113745479486216,0.09822660500530306,0.9814814814814815,0.9560185185185185,432,432,False,0.05054827671587389,pre_brexit
Nature of persecution,nature of persecution,horizontal,threats from local militia groups tolerated by authorities,0.30456882465629925,0.24593554593554592,0.05863327872075333,0.9930555555555556,1.0,432,432,False,0.24739067367639378,pre_brexit
Nature of persecution,nature of persecution,horizontal,public shaming campaigns against LGBTQ+ individuals with police inaction,0.30456882465629925,0.24593554593554592,0.05863327872075333,0.9930555555555556,1.0,432,432,False,0.24739067367639378,pre_brexit
Nature of persecution,nature of persecution,horizontal,forced ideological re-education without physical violence,-0.625962784539103,-0.20110151337003188,-0.42486127116907113,0.2847222222222222,0.6412037037037037,432,432,True,1.645173219789778e-25,post_brexit
Nature of persecution,nature of persecution,horizontal,denial of critical medical care due to political or religious status,0.27415929494403124,0.24016732581547393,0.033991969128557314,0.9699074074074074,0.9953703703703703,432,432,True,0.009195524007373758,pre_brexit
Nature of persecution,nature of persecution,horizontal,ongoing intimidation by family members with no legal recourse,0.3015278716850724,0.24593554593554592,0.05559232574952647,0.9907407407407407,1.0,432,432,False,0.13271419601165593,pre_brexit
Non-Refoulement - Interception at Sea,place of interception,ordinal,interception occurred in UK territorial waters,0.19509451769213423,0.20267389503500616,-0.0075793773428719236,0.9097222222222222,0.9652777777777778,144,144,False,0.08837627958433844,post_brexit
Non-Refoulement - Interception at Sea,place of interception,ordinal,interception occurred in international waters,0.24938509766095965,0.22863088557533007,0.02075421208562958,0.951048951048951,0.9861111111111112,143,144,False,0.17213576290019916,pre_brexit
Non-Refoulement - Interception at Sea,place of interception,ordinal,interception occurred in a different country's territorial waters,0.28613171818039973,0.20267389503500616,0.08345782314539357,0.9790209790209791,0.9652777777777778,143,144,False,0.7273948028249768,pre_brexit
Non-Refoulement - Interception at Sea,place of interception,ordinal,interception occurred in third country territorial waters,0.2589545300878972,0.21997855539522201,0.03897597469267519,0.9583333333333334,0.9791666666666666,144,144,False,0.49819405658410887,pre_brexit
Activist Persecution Ground,persecution ground,horizontal,race,-0.029936002178649283,-0.6279498022553578,0.5980138000767085,0.7384259259259259,0.2986111111111111,432,432,True,6.757251908918276e-38,pre_brexit
Activist Persecution Ground,persecution ground,horizontal,religion,-0.09474146166987477,-0.7115889939964014,0.6168475323265267,0.6890951276102089,0.23148148148148148,431,432,True,4.735756154016299e-41,pre_brexit
Activist Persecution Ground,persecution ground,horizontal,nationality,-0.11204173240177301,-0.5385423903942422,0.4265006579924692,0.6759259259259259,0.37037037037037035,432,432,True,4.538712045093421e-19,pre_brexit
Activist Persecution Ground,persecution ground,horizontal,political opinion,-0.10900077943054627,-0.6164133620152139,0.5074125825846676,0.6782407407407407,0.30787037037037035,432,432,True,2.7791727345922968e-27,pre_brexit
3rd safe country - Country safety definition,safety and systems,ordinal,"severe violence and no recognized asylum procedures, poor healthcare and education systems",0.30456882465629925,0.15075991395435845,0.1538089107019408,0.9930555555555556,0.9236111111111112,144,144,True,0.007955438571009409,pre_brexit
3rd safe country - Country safety definition,safety and systems,ordinal,"ongoing low-level violence and functioning but discriminatory and unequal asylum, healthcare and education systems",0.30456882465629925,0.22863088557533007,0.07593793908096919,0.9930555555555556,0.9861111111111112,144,144,False,1.0,pre_brexit
3rd safe country - Country safety definition,safety and systems,ordinal,"generally stable security situation and functioning and accessible asylum, healthcare and education systems",0.040005916159567174,-0.5414265004542782,0.5814324166138454,0.7916666666666666,0.3680555555555556,144,144,True,7.891493825389672e-13,pre_brexit
