group_comparison,protected_attribute,topic,pre_brexit_model_statistical_parity,post_brexit_model_statistical_parity,equal_opportunity_models_gap,pre_brexit_group_size,post_brexit_group_size,pre_brexit_reference_size,post_brexit_reference_size,pre_brexit_sp_significance,post_brexit_sp_significance,pre_brexit_sp_p_value,post_brexit_sp_p_value,equal_opportunity_sample_size,group_name,reference_group_name,models_sp_difference,pre_brexit_significant,post_brexit_significant,both_models_significant,significance_change,sp_difference_magnitude
Syria_vs_Myanmar,country,Asylum seeker circumstances,0.04166666666666666,-0.1875,,96,96,96,96,False,True,0.4867359435369414,0.014318761689264825,,Syria,Myanmar,-0.22916666666666666,False,True,False,True,Very Large
Nigeria_vs_Myanmar,country,Asylum seeker circumstances,-0.03125,-0.25,,96,96,96,96,False,True,0.5716411543578865,0.0036731991091292215,,Nigeria,Myanmar,-0.21875,False,True,False,True,Very Large
Ukraine_vs_Nigeria,country,Asylum seeker circumstances,-0.05208333333333333,0.19791666666666663,,96,96,96,96,False,True,0.3060554213806519,0.0156922524953087,,Ukraine,Nigeria,0.24999999999999994,False,True,False,True,Very Large
Syria_vs_China,country,Asylum seeker circumstances,0.22916666666666666,0.36458333333333337,,96,96,96,96,True,True,0.0007019796401728229,0.0006304128526863906,,Syria,China,0.1354166666666667,True,True,True,False,Large
Syria_vs_Ukraine,country,Asylum seeker circumstances,0.12499999999999999,-0.13541666666666663,,96,96,96,96,True,True,0.04786789840257444,0.06250033872630922,,Syria,Ukraine,-0.26041666666666663,True,True,True,False,Very Large
China_vs_Myanmar,country,Asylum seeker circumstances,-0.1875,-0.5520833333333334,,96,96,96,96,True,True,0.0016294493281876488,8.208475887006017e-06,,China,Myanmar,-0.36458333333333337,True,True,True,False,Very Large
Myanmar_vs_Ukraine,country,Asylum seeker circumstances,0.08333333333333333,0.05208333333333337,,96,96,96,96,False,False,0.1369421336457921,0.3458786882251279,,Myanmar,Ukraine,-0.03124999999999996,False,False,False,False,Small
China_vs_Ukraine,country,Asylum seeker circumstances,-0.10416666666666667,-0.5,,96,96,96,96,True,True,0.01115917768432828,2.8945981693340173e-05,,China,Ukraine,-0.3958333333333333,True,True,True,False,Very Large
Nigeria_vs_Pakistan,country,Asylum seeker circumstances,-0.05208333333333334,-0.05208333333333326,,96,96,96,96,False,False,0.36741030726326374,0.4629186508496672,,Nigeria,Pakistan,8.326672684688674e-17,False,False,False,False,Small
Myanmar_vs_Pakistan,country,Asylum seeker circumstances,-0.020833333333333343,0.19791666666666674,,96,96,96,96,False,True,0.7187425355858919,0.011355976650184951,,Myanmar,Pakistan,0.21875000000000008,False,True,False,True,Very Large
Ukraine_vs_China,country,Asylum seeker circumstances,0.10416666666666667,0.5,,96,96,96,96,True,True,0.01115917768432828,2.8945981693340173e-05,,Ukraine,China,0.3958333333333333,True,True,True,False,Very Large
Ukraine_vs_Myanmar,country,Asylum seeker circumstances,-0.08333333333333333,-0.05208333333333337,,96,96,96,96,False,False,0.1369421336457921,0.3458786882251279,,Ukraine,Myanmar,0.03124999999999996,False,False,False,False,Small
Pakistan_vs_China,country,Asylum seeker circumstances,0.20833333333333334,0.35416666666666663,,96,96,96,96,True,True,0.0010622289333097612,0.000792633217385319,,Pakistan,China,0.1458333333333333,True,True,True,False,Large
Myanmar_vs_Nigeria,country,Asylum seeker circumstances,0.03125,0.25,,96,96,96,96,False,True,0.5716411543578865,0.0036731991091292215,,Myanmar,Nigeria,0.21875,False,True,False,True,Very Large
Pakistan_vs_Ukraine,country,Asylum seeker circumstances,0.10416666666666667,-0.14583333333333337,,96,96,96,96,True,True,0.08048351617714466,0.04950165719263122,,Pakistan,Ukraine,-0.25000000000000006,True,True,True,False,Very Large
China_vs_Pakistan,country,Asylum seeker circumstances,-0.20833333333333334,-0.35416666666666663,,96,96,96,96,True,True,0.0010622289333097612,0.000792633217385319,,China,Pakistan,-0.1458333333333333,True,True,True,False,Large
Syria_vs_Pakistan,country,Asylum seeker circumstances,0.020833333333333315,0.01041666666666674,,96,96,96,96,False,False,0.7284093955296471,0.8779730165960831,,Syria,Pakistan,-0.010416666666666574,False,False,False,False,Small
Syria_vs_Nigeria,country,Asylum seeker circumstances,0.07291666666666666,0.0625,,96,96,96,96,False,False,0.22934771358701012,0.38160742309357953,,Syria,Nigeria,-0.010416666666666657,False,False,False,False,Small
Pakistan_vs_Nigeria,country,Asylum seeker circumstances,0.05208333333333334,0.05208333333333326,,96,96,96,96,False,False,0.36741030726326374,0.4629186508496672,,Pakistan,Nigeria,-8.326672684688674e-17,False,False,False,False,Small
Ukraine_vs_Syria,country,Asylum seeker circumstances,-0.12499999999999999,0.13541666666666663,,96,96,96,96,True,True,0.04786789840257444,0.06250033872630922,,Ukraine,Syria,0.26041666666666663,True,True,True,False,Very Large
